Car_ID,Brand,Model_Year,Body_Type,Fuel_Type,Transmission,Engine_L,Horsepower,Mileage_kmpl,KM_Driven,Region,City,Selling_Price_Lakh,Profit_Lakh,Units_Sold
CAR10025,Maruti Suzuki,2017,SUV,Electric,CVT,1.7,115,35.0,85590,North,Delhi,10.11,2.14,8
CAR10026,Tata,2021,Sedan,CNG,CVT,1.3,118,26.4,10118,West,Jaipur,9.79,1.08,2
CAR10027,Hyundai,2023,Coupe,Hybrid,Manual,4.7,282,26.6,152424,North,Delhi,28.23,3.62,11
CAR10028,Nissan,2026,Sedan,Hybrid,Manual,1.5,114,28.8,37906,South,Bengaluru,18.47,2.13,6
CAR10029,Volkswagen,2022,SUV,Diesel,DCT,4.5,282,14.3,36949,South,Bengaluru,26.3,5.38,5
CAR10030,Hyundai,2020,SUV,CNG,Manual,3.5,217,27.2,112952,North,Indore,13.47,2.11,10
CAR10031,Hyundai,2022,Hatchback,Diesel,Automatic,3.2,210,19.0,144811,East,Mumbai,12.41,2.2,9
CAR10032,BMW,2018,SUV,Petrol,Automatic,4.0,252,20.4,143776,South,Jaipur,50.47,7.27,5
CAR10033,Honda,2017,Sedan,Diesel,Manual,3.8,207,21.3,156892,East,Bengaluru,16.74,2.13,11
CAR10034,Volkswagen,2023,SUV,Diesel,Manual,1.3,131,27.4,159635,West,Pune,27.04,5.79,6
CAR10035,Skoda,2026,Hatchback,Petrol,DCT,5.0,306,15.3,27452,North,Delhi,15.99,3.42,8
CAR10036,Toyota,2025,MUV,Petrol,CVT,4.8,294,21.2,57589,West,Chennai,25.73,6.01,11
CAR10037,Nissan,2022,Pickup,Petrol,CVT,4.6,156,18.7,131022,South,Pune,14.34,3.1,8
CAR10038,Nissan,2017,Hatchback,Electric,Manual,3.4,198,35.0,73390,South,Ahmedabad,10.68,2.18,7
CAR10039,Mercedes-Benz,2026,SUV,Petrol,Manual,3.0,195,19.2,130297,East,Jaipur,86.28,19.77,7
CAR10040,Tata,2021,MUV,Electric,Automatic,3.1,170,34.0,84594,West,Jaipur,15.43,2.88,8
CAR10041,Ford,2019,Sedan,Diesel,Automatic,0.9,65,31.1,83995,West,Hyderabad,15.38,2.13,11
CAR10042,Maruti Suzuki,2025,MUV,Hybrid,Manual,2.9,166,33.0,9720,North,Chennai,14.35,1.74,8
CAR10043,Mahindra,2024,SUV,Petrol,AMT,3.4,229,19.4,111457,East,Bengaluru,21.46,4.04,4
CAR10044,Audi,2024,Pickup,CNG,DCT,3.6,191,24.7,156194,South,Indore,56.43,12.83,1
CAR10045,Honda,2019,Pickup,Diesel,Automatic,2.2,158,21.8,148267,South,Pune,13.28,1.67,9
CAR10046,Jeep,2026,Hatchback,Petrol,Automatic,2.8,173,21.3,64140,Central,Indore,22.27,4.04,6
CAR10047,Hyundai,2021,SUV,Petrol,Automatic,3.5,231,17.4,123429,North,Kolkata,14.69,2.97,5
CAR10048,Skoda,2022,SUV,Petrol,Manual,2.6,180,23.3,39873,East,Kolkata,19.74,3.34,11
CAR10049,Mahindra,2024,Hatchback,Petrol,Manual,4.8,293,20.4,115870,East,Jaipur,12.32,1.16,2
CAR10050,Maruti Suzuki,2023,Sedan,Hybrid,Automatic,3.8,235,25.5,76609,South,Ahmedabad,11.39,2.1,1
CAR10051,Maruti Suzuki,2018,Pickup,CNG,Automatic,0.8,41,32.8,167172,West,Bengaluru,5.69,0.55,9
CAR10052,Ford,2020,Hatchback,Hybrid,Automatic,0.9,74,34.2,129348,East,Hyderabad,12.35,2.5,11
CAR10053,Audi,2020,SUV,Diesel,CVT,3.7,233,24.3,17829,West,Bengaluru,51.95,11.65,10
CAR10054,Kia,2026,Coupe,Diesel,Manual,2.5,220,22.2,157410,South,Ahmedabad,27.28,5.9,10
CAR10055,Kia,2024,Sedan,Electric,Manual,4.3,264,30.0,131725,Central,Delhi,23.49,2.91,10
CAR10056,Toyota,2020,SUV,Electric,Manual,1.5,92,35.0,42690,West,Jaipur,20.07,3.2,8
CAR10057,Volkswagen,2024,Pickup,Petrol,Manual,0.9,108,24.4,54446,South,Indore,21.16,3.23,11
CAR10058,Ford,2024,SUV,CNG,Automatic,2.4,104,30.8,35207,Central,Delhi,20.15,1.91,4
CAR10059,Maruti Suzuki,2020,Hatchback,Petrol,CVT,3.9,230,20.2,59284,Central,Pune,6.13,1.01,9
CAR10060,Mahindra,2021,Hatchback,Electric,CVT,4.9,252,30.4,170162,East,Delhi,10.16,2.26,2
CAR10061,Skoda,2025,Pickup,CNG,Automatic,4.5,295,28.0,162889,North,Chennai,18.87,2.5,6
CAR10062,Maruti Suzuki,2022,Sedan,Hybrid,Automatic,2.8,160,34.3,101406,East,Chennai,9.83,2.05,4
CAR10063,Audi,2018,SUV,Petrol,Manual,4.2,236,15.0,68385,West,Hyderabad,68.8,10.51,11
CAR10064,Jeep,2024,Hatchback,Diesel,Automatic,1.1,54,29.3,69010,South,Indore,18.6,2.08,5
CAR10065,Hyundai,2022,SUV,Petrol,Automatic,3.2,183,23.0,172466,North,Kolkata,13.4,2.26,3
CAR10066,Mercedes-Benz,2022,Pickup,Electric,CVT,4.7,251,29.3,39880,East,Chennai,101.39,19.55,7
CAR10067,Skoda,2024,SUV,Petrol,Automatic,2.5,154,25.0,137565,Central,Delhi,18.74,2.88,1
CAR10068,Audi,2026,Pickup,Hybrid,Manual,4.8,245,20.3,179168,South,Jaipur,91.5,20.22,2
CAR10069,Honda,2020,Sedan,CNG,Manual,1.7,100,35.0,154675,East,Chennai,10.83,2.1,5
CAR10070,Kia,2021,SUV,Petrol,Manual,1.2,101,28.7,130857,North,Kolkata,15.55,2.56,7
CAR10071,Maruti Suzuki,2018,Coupe,Petrol,CVT,3.0,175,20.2,162466,West,Delhi,10.54,2.13,7
CAR10072,Ford,2023,SUV,Diesel,Manual,4.6,237,17.2,43129,Central,Bengaluru,25.91,6.07,1
CAR10073,Hyundai,2021,Sedan,Petrol,Manual,2.1,123,19.9,177154,West,Hyderabad,14.51,2.21,8
CAR10074,Honda,2020,Coupe,Petrol,Manual,4.2,279,19.0,20970,East,Indore,19.53,3.51,1
CAR10075,Mahindra,2023,Sedan,Petrol,CVT,1.5,101,25.0,7421,North,Chennai,12.69,2.3,9
CAR10076,Kia,2021,SUV,Petrol,Automatic,3.9,253,16.7,39874,East,Hyderabad,18.7,1.69,1
CAR10077,Mercedes-Benz,2021,Pickup,Diesel,Automatic,3.1,210,24.9,111562,Central,Jaipur,87.79,19.6,1
CAR10078,BMW,2021,Hatchback,Diesel,Automatic,1.5,107,30.2,48354,North,Chennai,33.02,7.16,6
CAR10079,Volkswagen,2019,Sedan,Petrol,Manual,3.8,276,20.8,115864,South,Bengaluru,16.74,1.82,9
CAR10080,Mahindra,2018,Hatchback,Diesel,CVT,3.8,287,20.0,24439,Central,Delhi,10.25,2.26,9
CAR10081,Jeep,2025,Sedan,Petrol,Manual,3.0,121,24.1,126987,East,Indore,19.8,2.03,7
CAR10082,Hyundai,2017,Sedan,Petrol,Manual,1.7,39,25.9,45188,North,Mumbai,8.02,1.12,2
CAR10083,Ford,2020,SUV,Hybrid,Automatic,1.4,102,30.4,96606,North,Bengaluru,19.97,3.21,11
CAR10084,Nissan,2023,Hatchback,Petrol,Manual,4.8,277,16.5,25436,East,Mumbai,10.84,2.15,1
CAR10085,Tata,2018,SUV,Diesel,Manual,3.6,221,20.5,174792,East,Ahmedabad,15.21,2.83,4
CAR10086,Mahindra,2023,Sedan,CNG,CVT,4.2,249,25.7,71103,Central,Chennai,14.14,1.64,9
CAR10087,Honda,2024,Sedan,Diesel,Automatic,3.7,197,21.1,110825,Central,Ahmedabad,20.22,4.68,7
CAR10088,Mercedes-Benz,2023,Sedan,Diesel,Manual,4.3,219,20.3,90084,East,Pune,75.07,9.36,9
CAR10089,Maruti Suzuki,2020,SUV,Petrol,Automatic,1.5,94,21.8,109177,East,Delhi,8.08,0.94,9
CAR10090,Nissan,2017,SUV,Petrol,AMT,2.9,179,25.0,84674,Central,Chennai,13.59,1.82,11
CAR10091,Hyundai,2025,Sedan,Petrol,Manual,3.6,219,21.4,17802,West,Delhi,15.47,3.59,6
CAR10092,Nissan,2020,Coupe,Hybrid,Manual,1.2,89,35.0,150111,South,Delhi,22.89,2.94,10
CAR10093,Nissan,2025,SUV,Electric,Automatic,1.4,95,35.0,117432,West,Kolkata,22.89,3.01,2
CAR10094,Audi,2018,Sedan,Petrol,Automatic,3.5,207,22.6,49449,West,Bengaluru,44.06,10.49,2
CAR10095,Skoda,2018,Pickup,Petrol,DCT,4.4,237,27.9,19705,South,Delhi,16.8,1.78,1
CAR10096,Mercedes-Benz,2024,Sedan,Petrol,Automatic,3.6,226,21.9,160241,Central,Kolkata,76.77,16.9,3
CAR10097,BMW,2026,Hatchback,Diesel,Manual,1.0,32,27.4,63195,South,Kolkata,53.66,5.15,2
CAR10098,Mahindra,2025,SUV,Diesel,Automatic,4.9,266,15.3,163921,East,Indore,19.92,4.57,10
CAR10099,Tata,2024,Hatchback,Hybrid,Automatic,1.4,85,35.0,139027,East,Pune,9.38,1.92,6
CAR10100,Ford,2019,Sedan,CNG,Manual,1.8,109,27.2,172964,West,Chennai,14.0,1.91,5
CAR10101,Nissan,2026,MUV,Petrol,Automatic,4.9,248,19.5,120482,Central,Kolkata,18.52,4.06,8
CAR10102,Ford,2023,Hatchback,Hybrid,Manual,4.0,254,26.0,36672,South,Delhi,15.35,3.26,4
CAR10103,Nissan,2018,Coupe,Diesel,CVT,4.7,342,18.2,11200,South,Chennai,19.91,4.75,7
CAR10104,Toyota,2018,Pickup,Petrol,CVT,4.2,215,15.6,48006,West,Hyderabad,14.34,1.66,1
CAR10105,Maruti Suzuki,2025,SUV,CNG,Automatic,3.5,255,30.6,81871,Central,Delhi,12.9,3.02,8
CAR10106,Maruti Suzuki,2019,SUV,Petrol,DCT,2.0,75,24.4,114170,Central,Indore,9.14,1.33,10
CAR10107,Maruti Suzuki,2024,SUV,Hybrid,DCT,2.2,173,28.1,161779,West,Hyderabad,14.75,2.25,1
CAR10108,Tata,2018,Pickup,Hybrid,Manual,4.8,243,29.2,29656,West,Ahmedabad,14.28,2.33,1
CAR10109,Kia,2019,Sedan,CNG,Automatic,4.4,266,22.9,116117,West,Bengaluru,12.71,2.34,2
CAR10110,Mahindra,2019,Hatchback,Diesel,Automatic,2.3,102,25.5,19983,Central,Jaipur,8.63,1.68,7
CAR10111,Mercedes-Benz,2019,SUV,Petrol,Manual,2.4,155,26.8,89253,North,Chennai,77.34,7.46,9
CAR10112,Maruti Suzuki,2023,SUV,Electric,Automatic,2.1,120,35.0,17897,East,Indore,13.39,1.64,10
CAR10113,Volkswagen,2026,Hatchback,Electric,Manual,2.2,116,30.1,70430,North,Hyderabad,17.27,1.75,9
CAR10114,Hyundai,2026,SUV,Diesel,DCT,4.4,313,21.5,111076,East,Pune,23.32,3.03,7
CAR10115,Kia,2024,Hatchback,Hybrid,Automatic,0.8,41,34.8,134313,South,Bengaluru,12.17,1.41,8
CAR10116,Volkswagen,2019,Pickup,Petrol,AMT,2.6,196,22.8,145818,South,Indore,16.66,1.59,4
CAR10117,Toyota,2026,Sedan,Diesel,Automatic,4.8,254,18.2,96788,Central,Mumbai,18.46,3.17,9
CAR10118,Ford,2022,Hatchback,Electric,Manual,3.1,208,29.7,50304,West,Delhi,18.73,1.95,3
CAR10119,BMW,2022,Hatchback,Petrol,CVT,2.7,108,24.1,164777,East,Kolkata,37.71,8.81,11
CAR10120,Honda,2024,Sedan,Diesel,Manual,2.1,108,20.9,168368,Central,Jaipur,19.4,4.34,1
CAR10121,Hyundai,2024,Sedan,CNG,Manual,1.1,47,31.5,174325,North,Indore,11.35,1.89,11
CAR10122,Mahindra,2026,Hatchback,Electric,Automatic,1.7,132,35.0,143588,West,Jaipur,14.2,2.44,6
CAR10123,Tata,2022,Sedan,CNG,AMT,1.2,71,35.0,141129,North,Hyderabad,10.07,1.75,8
CAR10124,Kia,2023,Hatchback,Petrol,Automatic,1.3,19,24.4,18555,South,Indore,12.42,1.98,2
CAR10125,Nissan,2024,Sedan,CNG,Manual,1.5,50,35.0,105198,North,Kolkata,9.77,1.56,4
CAR10126,Volkswagen,2019,Sedan,Petrol,Manual,2.1,90,27.8,76278,East,Kolkata,15.57,1.7,10
CAR10127,Honda,2020,Sedan,Diesel,Manual,0.8,67,26.8,50318,West,Mumbai,13.46,2.53,1
CAR10128,Maruti Suzuki,2023,Sedan,Diesel,Manual,4.8,284,15.2,16902,West,Ahmedabad,10.24,1.97,3
CAR10129,Volkswagen,2017,Hatchback,Electric,Automatic,1.3,64,34.5,42331,East,Chennai,12.44,1.68,7
CAR10130,Tata,2020,Hatchback,CNG,Manual,2.4,118,30.1,165158,Central,Mumbai,7.06,1.01,9
CAR10131,Volkswagen,2024,Sedan,Hybrid,Manual,4.5,265,24.0,164018,South,Chennai,22.63,2.61,5
CAR10132,Volkswagen,2026,MUV,Diesel,Automatic,1.2,38,30.7,134990,North,Pune,21.6,4.18,1
CAR10133,Honda,2022,Pickup,Diesel,AMT,2.8,165,21.2,22774,North,Bengaluru,15.4,3.68,2
CAR10134,Volkswagen,2020,Pickup,Diesel,Manual,4.3,246,17.0,125145,North,Chennai,21.6,2.13,10
CAR10135,Maruti Suzuki,2021,SUV,Diesel,Automatic,3.1,189,23.3,27188,East,Chennai,11.71,2.73,3
CAR10136,Mercedes-Benz,2023,SUV,Petrol,Manual,1.7,128,23.9,124472,East,Hyderabad,74.37,10.26,7
CAR10137,Tata,2022,Sedan,Diesel,DCT,3.9,217,20.7,10893,Central,Ahmedabad,15.9,3.05,11
CAR10138,Toyota,2017,MUV,Electric,Manual,3.7,216,35.0,54906,North,Pune,23.01,4.06,5
CAR10139,Audi,2022,MUV,Hybrid,Manual,2.3,93,31.8,26439,South,Mumbai,68.08,7.78,1
CAR10140,Hyundai,2021,Coupe,Electric,Automatic,1.0,105,35.0,168369,Central,Chennai,21.28,3.77,9
CAR10141,Jeep,2024,Pickup,Petrol,Manual,0.8,70,28.7,104533,North,Pune,25.2,5.5,9
CAR10142,BMW,2025,SUV,Diesel,Manual,4.3,270,14.6,166485,East,Bengaluru,92.93,11.79,8
CAR10143,Mercedes-Benz,2026,MUV,Petrol,Manual,2.2,136,25.9,8552,North,Delhi,99.61,23.6,10
CAR10144,Hyundai,2023,Coupe,Petrol,Automatic,1.4,109,27.1,134410,East,Chennai,19.04,3.78,9
CAR10145,Jeep,2020,Sedan,Diesel,Automatic,3.0,187,25.5,88975,Central,Pune,20.8,3.31,8
CAR10146,Nissan,2021,Pickup,Petrol,Automatic,4.7,260,20.5,87062,South,Pune,16.21,2.83,4
CAR10147,Toyota,2018,Hatchback,Petrol,AMT,0.8,15,27.5,157820,South,Mumbai,11.28,1.66,1
CAR10148,BMW,2026,Pickup,Hybrid,Automatic,1.0,76,35.0,13245,East,Pune,87.17,15.93,8
CAR10149,Nissan,2025,MUV,Diesel,CVT,2.6,102,22.9,170230,West,Mumbai,16.96,3.08,10
CAR10150,Toyota,2025,Hatchback,Petrol,AMT,3.6,205,22.1,9954,Central,Ahmedabad,14.37,2.7,8
CAR10151,Nissan,2020,SUV,Petrol,CVT,2.8,169,22.3,68487,North,Hyderabad,18.2,1.95,8
CAR10152,Mercedes-Benz,2020,Hatchback,Diesel,AMT,4.6,242,20.3,29173,East,Mumbai,45.92,10.9,8
CAR10153,Skoda,2025,MUV,Diesel,Automatic,1.0,59,26.5,96549,West,Chennai,19.57,1.94,4
CAR10154,Mercedes-Benz,2022,MUV,Diesel,Manual,2.2,103,29.7,109258,North,Jaipur,72.57,13.52,2
CAR10155,Hyundai,2024,SUV,Diesel,Automatic,2.3,164,30.5,117361,Central,Kolkata,16.45,3.05,7
CAR10156,Tata,2021,Coupe,Petrol,Manual,2.2,157,27.3,144667,South,Pune,17.43,2.29,11
CAR10157,Honda,2021,Hatchback,CNG,Automatic,2.8,139,32.9,136419,East,Ahmedabad,11.19,2.03,2
CAR10158,Volkswagen,2023,Sedan,Petrol,Manual,4.1,259,15.5,170981,Central,Delhi,18.31,2.7,1
CAR10159,Kia,2025,Sedan,Diesel,Manual,2.1,121,20.7,83681,West,Indore,16.55,1.73,8
CAR10160,Maruti Suzuki,2020,Hatchback,Petrol,DCT,3.9,230,19.7,35688,Central,Chennai,6.51,0.74,5
CAR10161,Jeep,2025,SUV,Diesel,AMT,1.4,137,26.8,32245,West,Ahmedabad,29.69,4.83,10
CAR10162,Tata,2019,Sedan,Petrol,Automatic,3.2,211,21.7,53217,South,Kolkata,12.8,1.7,6
CAR10163,Hyundai,2021,Sedan,Electric,Automatic,2.4,146,31.3,110511,West,Hyderabad,17.01,3.08,6
CAR10164,Hyundai,2026,SUV,Petrol,Automatic,3.1,188,26.0,14467,West,Chennai,17.62,2.18,1
CAR10165,Hyundai,2026,Convertible,Diesel,CVT,1.3,36,33.3,172095,South,Jaipur,19.98,4.29,11
CAR10166,Nissan,2026,Sedan,Petrol,Automatic,4.8,269,22.3,178083,North,Mumbai,14.93,3.48,4
CAR10167,Mercedes-Benz,2020,Pickup,Petrol,Automatic,4.6,280,22.2,33841,West,Jaipur,70.49,11.2,5
CAR10168,Ford,2025,SUV,Petrol,Automatic,4.3,270,20.4,141660,East,Bengaluru,22.8,4.74,7
CAR10169,Audi,2026,Sedan,Diesel,Automatic,4.5,161,16.7,109350,West,Jaipur,59.09,7.72,10
CAR10170,Toyota,2026,SUV,Diesel,AMT,1.4,124,26.9,89124,North,Delhi,24.0,5.4,9
CAR10171,Honda,2017,Sedan,CNG,DCT,2.9,183,34.4,133559,East,Delhi,9.95,2.38,9
CAR10172,Honda,2024,Sedan,Hybrid,Automatic,2.1,108,30.9,105723,Central,Delhi,23.31,3.23,2
CAR10173,Maruti Suzuki,2026,SUV,CNG,Automatic,4.5,297,22.8,61644,Central,Hyderabad,11.88,1.96,1
CAR10174,Mahindra,2024,Hatchback,Petrol,Automatic,1.6,104,29.5,103380,Central,Bengaluru,10.31,1.0,10
CAR10175,Mahindra,2019,Sedan,Electric,Automatic,1.7,76,35.0,28758,South,Hyderabad,13.88,2.82,11
CAR10176,Hyundai,2024,SUV,Diesel,DCT,3.7,260,18.6,49513,North,Jaipur,15.23,3.37,7
CAR10177,Mahindra,2018,Sedan,Diesel,AMT,1.2,34,26.3,175269,East,Delhi,11.03,2.61,11
CAR10178,Ford,2021,Coupe,CNG,Automatic,3.9,248,24.1,37443,East,Hyderabad,20.59,3.57,4
CAR10179,Skoda,2023,Sedan,Hybrid,Automatic,1.9,101,32.6,109688,South,Ahmedabad,19.59,4.41,4
CAR10180,Kia,2021,Pickup,CNG,Automatic,3.6,177,29.7,56970,North,Kolkata,15.57,1.93,2
CAR10181,Jeep,2023,MUV,Hybrid,Manual,4.5,255,23.8,86335,North,Indore,37.79,8.66,9
CAR10182,Ford,2019,Pickup,Petrol,Automatic,3.4,220,25.1,48251,South,Pune,18.28,1.86,8
CAR10183,Kia,2023,Coupe,Hybrid,CVT,1.7,160,33.2,104536,West,Delhi,27.79,4.42,3
CAR10184,Mahindra,2023,Hatchback,Diesel,Automatic,1.0,73,34.6,102567,North,Hyderabad,11.08,1.5,11
CAR10185,Kia,2023,SUV,CNG,Manual,1.0,38,33.6,113084,North,Chennai,17.19,3.79,1
CAR10186,Hyundai,2019,Hatchback,Electric,AMT,1.2,33,35.0,58935,South,Mumbai,10.92,2.47,9
CAR10187,Ford,2020,Coupe,Petrol,AMT,3.2,215,24.0,106301,Central,Indore,17.59,3.29,3
CAR10188,Audi,2019,SUV,Petrol,Manual,2.3,151,23.5,132565,Central,Bengaluru,54.36,8.8,9
CAR10189,BMW,2021,Sedan,Petrol,Automatic,1.8,87,20.3,130990,East,Delhi,46.9,7.21,6
CAR10190,Mercedes-Benz,2022,Pickup,Diesel,Automatic,1.7,141,25.2,104389,North,Bengaluru,78.36,14.93,3
CAR10191,Mahindra,2020,Hatchback,Petrol,CVT,4.8,267,17.7,57351,North,Jaipur,9.4,1.87,1
CAR10192,Tata,2021,SUV,Hybrid,Manual,1.3,110,29.1,98146,Central,Hyderabad,16.87,1.57,7
CAR10193,Tata,2019,MUV,Diesel,Manual,2.1,140,24.7,98967,East,Jaipur,13.82,2.75,2
CAR10194,Audi,2019,Hatchback,Electric,Automatic,2.8,155,29.1,171476,North,Kolkata,51.61,11.32,5
CAR10195,Jeep,2023,SUV,Petrol,Manual,0.8,134,27.0,70981,Central,Mumbai,33.78,6.29,11
CAR10196,Honda,2025,Coupe,Diesel,Automatic,4.7,270,19.5,61421,East,Chennai,23.37,4.54,10
CAR10197,Audi,2019,Hatchback,Petrol,AMT,1.2,51,27.4,136229,South,Mumbai,28.46,5.03,6
CAR10198,Honda,2025,SUV,CNG,Manual,3.7,205,24.9,116172,East,Hyderabad,25.16,3.68,9
CAR10199,Audi,2022,Sedan,Petrol,Automatic,3.4,226,21.6,79742,South,Bengaluru,61.24,9.16,10
CAR10200,Jeep,2018,SUV,Petrol,DCT,4.2,276,17.6,5008,Central,Indore,27.12,3.67,7
CAR10201,Audi,2020,Hatchback,Petrol,Automatic,3.5,179,21.6,128359,West,Chennai,38.02,8.23,3
CAR10202,Skoda,2017,Pickup,Electric,Automatic,4.0,198,32.6,133961,North,Chennai,18.63,4.34,9
CAR10203,Kia,2017,Pickup,Petrol,Automatic,2.6,178,21.1,167808,West,Indore,11.29,1.37,1
CAR10204,Mahindra,2020,Hatchback,Diesel,Manual,2.9,169,23.8,92945,North,Hyderabad,9.03,1.87,6
CAR10205,Hyundai,2021,Sedan,Hybrid,Manual,3.7,239,28.9,95144,East,Mumbai,15.14,2.92,9
CAR10206,BMW,2024,SUV,Hybrid,Automatic,3.2,199,28.8,41467,West,Kolkata,79.18,13.59,7
CAR10207,Maruti Suzuki,2018,SUV,Petrol,Automatic,2.9,197,30.3,85442,North,Bengaluru,8.53,1.13,4
CAR10208,Jeep,2025,SUV,Petrol,Manual,1.7,126,25.5,5264,West,Ahmedabad,36.47,7.86,5
CAR10209,BMW,2019,Hatchback,Diesel,Manual,1.9,89,24.6,92626,South,Hyderabad,34.8,3.64,6
CAR10210,Maruti Suzuki,2018,Hatchback,Petrol,CVT,2.3,123,23.2,128715,West,Ahmedabad,5.58,1.07,9
CAR10211,BMW,2023,Pickup,Hybrid,Manual,0.8,14,32.2,142533,East,Indore,66.94,6.2,11
CAR10212,Mahindra,2024,SUV,Petrol,AMT,2.6,180,25.8,120972,North,Ahmedabad,17.59,3.47,9
CAR10213,Maruti Suzuki,2023,Convertible,Diesel,Automatic,0.8,63,26.0,145945,West,Chennai,14.29,1.87,4
CAR10214,Hyundai,2018,SUV,Petrol,Automatic,3.2,226,20.6,121446,South,Bengaluru,16.08,2.95,2
CAR10215,Maruti Suzuki,2018,Pickup,Diesel,Manual,3.8,226,19.3,141472,Central,Hyderabad,10.4,1.19,6
CAR10216,Mercedes-Benz,2020,Hatchback,Petrol,Manual,3.2,173,19.4,81554,Central,Kolkata,38.46,6.56,10
CAR10217,Honda,2021,Hatchback,Hybrid,Automatic,3.7,242,22.9,110382,North,Chennai,14.62,1.6,7
CAR10218,Honda,2026,Pickup,Petrol,AMT,0.8,66,26.7,116877,West,Jaipur,19.4,2.46,4
CAR10219,Hyundai,2019,Pickup,CNG,Manual,1.0,90,35.0,105196,South,Indore,11.41,1.74,1
CAR10220,Skoda,2018,Sedan,Hybrid,Automatic,3.7,240,28.7,104983,West,Chennai,19.74,4.0,3
CAR10221,Honda,2026,Sedan,Petrol,Automatic,4.2,228,24.6,141825,East,Pune,18.91,3.8,8
CAR10222,Hyundai,2018,SUV,Petrol,Manual,3.8,244,23.1,46806,South,Indore,15.51,1.42,8
CAR10223,Mahindra,2017,Sedan,Petrol,Automatic,3.6,217,22.9,60452,West,Delhi,12.83,1.3,5
CAR10224,BMW,2021,Hatchback,Petrol,Manual,3.8,180,26.5,95784,South,Chennai,41.44,9.09,4
CAR10225,Mahindra,2021,Pickup,Petrol,Automatic,3.9,186,20.3,117944,Central,Ahmedabad,11.69,2.45,2
CAR10226,Mercedes-Benz,2023,Sedan,CNG,Manual,3.8,177,26.1,95053,Central,Kolkata,72.06,16.14,11
CAR10227,Nissan,2025,SUV,Diesel,Automatic,3.9,237,20.6,39895,North,Ahmedabad,21.89,4.59,5
CAR10228,Volkswagen,2026,Hatchback,Petrol,Manual,1.1,52,32.0,149134,West,Kolkata,12.32,2.42,9
CAR10229,Volkswagen,2019,Hatchback,Diesel,Automatic,1.1,25,27.4,100517,Central,Delhi,11.79,1.35,6
CAR10230,Ford,2026,SUV,Petrol,Automatic,2.3,155,22.5,80860,North,Kolkata,24.45,5.52,7
